Date,Net
2015-12-09,2.0170
2015-12-08,2.0220
2015-12-07,2.0500
2015-12-04,2.0320
2015-12-03,2.0350
2015-12-02,2.0030
2015-12-01,2.0220
2015-11-30,2.0040
2015-11-27,1.9950
2015-11-26,2.0760
2015-11-25,2.0970
2015-11-24,2.0620
2015-11-23,2.0490
2015-11-20,2.0600
2015-11-19,2.0350
2015-11-18,2.0080
2015-11-17,2.0130
2015-11-16,2.0140
2015-11-13,2.0130
2015-11-12,2.0130
2015-11-11,2.0120
2015-11-10,1.9950
2015-11-09,1.9750
2015-11-06,1.9510
2015-11-05,1.9040
2015-11-04,1.8980
2015-11-03,1.7990
2015-11-02,1.7890
2015-10-30,1.8470
2015-10-29,1.8630
2015-10-28,1.8510
2015-10-27,1.8840
2015-10-26,1.8680
2015-10-23,1.8440
2015-10-22,1.7760
2015-10-21,1.7100
2015-10-20,1.8270
2015-10-19,1.7770
2015-10-16,1.7820
2015-10-15,1.7750
2015-10-14,1.7130
2015-10-13,1.7230
2015-10-12,1.7060
2015-10-09,1.6360
2015-10-08,1.6000
2015-09-30,1.5350
2015-09-29,1.5250
2015-09-28,1.5360
2015-09-25,1.5030
2015-09-24,1.5510
2015-09-23,1.5510
2015-09-22,1.5590
2015-09-21,1.5510
2015-09-18,1.4920
2015-09-17,1.4600
2015-09-16,1.4880
2015-09-15,1.3890
2015-09-14,1.4680
2015-09-11,1.5850
2015-09-10,1.5670
2015-09-09,1.5950
2015-09-08,1.5420
2015-09-07,1.4760
2015-09-02,1.4830
2015-09-01,1.5290
2015-08-31,1.6200
2015-08-28,1.6330
2015-08-27,1.5540
2015-08-26,1.4720
2015-08-25,1.5260
2015-08-24,1.6650
2015-08-21,1.8040
2015-08-20,1.9230
2015-08-19,1.9780
2015-08-18,1.9280
2015-08-17,2.0820
2015-08-14,2.0420
2015-08-13,2.0270
2015-08-12,1.9800
2015-08-11,2.0190
2015-08-10,1.9900
2015-08-07,1.9080
2015-08-06,1.8360
2015-08-05,1.8110
2015-08-04,1.8220
2015-08-03,1.7110
2015-07-31,1.7790
2015-07-30,1.7960
2015-07-29,1.8320
2015-07-28,1.7490
2015-07-27,1.8340
2015-07-24,1.9800
2015-07-23,2.0080
2015-07-22,1.9490
2015-07-21,1.9240
2015-07-20,1.9080
2015-07-17,1.8940
2015-07-16,1.7830
2015-07-15,1.7490
2015-07-14,1.8650
2015-07-13,1.7950
2015-07-10,1.6680
2015-07-09,1.5660
2015-07-08,1.4760
2015-07-07,1.5280
2015-07-06,1.6240
2015-07-03,1.6840
2015-07-02,1.7940
2015-07-01,1.9270
2015-06-30,2.0550
2015-06-29,1.9650
2015-06-26,2.1320
2015-06-25,2.3280
2015-06-24,2.4330
2015-06-23,2.3830
2015-06-19,2.3610
2015-06-18,2.5230
2015-06-17,2.5960
2015-06-16,2.5450
2015-06-15,2.6910
2015-06-12,2.7540
2015-06-11,2.7010
2015-06-10,2.6520
2015-06-09,2.6020
2015-06-08,2.6430
2015-06-05,2.7050
2015-06-04,2.6980
2015-06-03,2.7330
2015-06-02,2.7390
2015-06-01,2.6490
2015-05-29,2.5060
2015-05-28,2.4500
2015-05-27,2.5650
2015-05-26,2.5110
2015-05-25,2.4110
2015-05-22,2.3790
2015-05-21,2.3770
2015-05-20,2.2620
2015-05-19,2.2280
2015-05-18,2.1730
2015-05-15,2.1170
2015-05-14,2.1380
2015-05-13,2.0780
2015-05-12,2.0370
2015-05-11,2.0030
2015-05-08,1.9270
2015-05-07,1.8720
2015-05-06,1.9020
2015-05-05,1.9350
2015-05-04,1.9800
2015-04-30,1.9770
2015-04-29,1.9750
2015-04-28,1.9320
2015-04-27,2.0070
2015-04-24,2.0090
